一	一ＹＩ
尔	刀小Ｅ
尕	乃小Ｇ
尖	小大Ｊ
尘	小土Ｃ
尚	尚ＳＧ
尜	小大小
尝	龸云Ｃ
尢	尢ＷＧ
尤	尢丶Ｙ
尥	尢勹丶
尧	戈一儿
尬	尢人刂
就	高小尢
尴	尢刂Ｋ
尸	尸ＳＩ
尹	彐丿Ｙ
尺	尺ＣＩ
尺	尺ＣＥ
尻	尸九Ｋ
尼	尸匕Ｎ
尽	尺冫Ｊ
尾	尸毛Ｗ
尾	尸毛Ｙ
尿	尸水Ｎ
尿	尸水Ｓ
局	尸亅口
屁	尸比Ｐ
层	尸云Ｃ
居	尸古Ｊ
屈	尸出Ｑ
屉	尸世Ｔ
届	尸由Ｊ
屋	尸一土
屎	尸米Ｓ
屏	尸首廾
屐	尸彳又
屑	尸Ｍ冃
展	尸龷ｒ
屙	尸阝可
属	尸丿冂
屠	尸者Ｔ
屡	尸米女
屣	尸彳止
履	尸彳夂
屦	尸彳女
屯	七凵Ｔ
山	山ＳＮ
屹	山人乙
屺	山己Ｑ
屿	山与Ｙ
岁	山夕Ｓ
岂	山己Ｑ
岈	山一才
岌	山及Ｊ
岍	山一廾
岐	山十又
岑	山亽乛
岔	分山Ｃ
岖	山匚乂
岗	山冂乂
岘	山见Ｘ
岙	丿大山
岚	山风Ｌ
岛	鸟山Ｄ
岜	山巴Ｂ
岢	山可Ｋ
岣	山勹口
岩	山石Ｙ
岫	山由Ｘ
岬	山甲Ｊ
岭	山亽龴
岱	代山Ｄ
岳	丘山Ｙ
岵	山古Ｈ
岷	山巳七
岸	山厂干
岽	山七小
岿	山刂彐
峁	山Ｇ卩
峄	山又干
峋	山勹日
峒	山冂一
峙	山土寸
峡	山夫丷
峤	山丿刂
峥	山刀亅
峦	亦山Ｌ
峨	山手戈
峪	山谷Ｙ
峭	山Ｍ冃
峰	山夂丰
峻	山厶夂
崂	山营力
崃	山未丷
崆	山穴工
崇	山宀示
崎	山大可
崔	山隹Ｃ
崖	山厂圭
崛	山尸出
崞	山高子
崤	山乂冃
崦	山大乚
崧	山木厶
崩	山月月
崭	山车斤
崮	山囗古
崴	山戊一
崽	山田心
崾	山覀女
嵇	禾丶山
嵊	山禾丬
嵋	山尸目
嵌	山廿欠
嵘	山营木
嵛	山亼前
嵝	山米女
嵩	山高Ｓ
嵫	山首幺
嵬	山白儿
嵯	山羊工
嵴	山Ｋ月
嶂	山章Ｚ
嶙	山米舛
嶝	山癶首
嶷	山矢止
巅	山八页
巍	山女儿
川	川ＣＮ
州	州ＺＵ
巡	巛辶Ｘ
巢	巛日木
工	工ＧＧ
左	厂工Ｚ
巧	工丂Ｑ
巨	匚尸Ｊ
巩	工几丶
巫	工人人
差	羊工Ｃ
巯	又工川
己	己ＪＩ
已	已ＹＩ
巳	巳ＳＩ
巴	巴ＢＡ
巷	龷八巳
巽	巳巳八
巾	巾ＪＮ
币	丿巾Ｂ
市	亠巾Ｓ
布	厂巾Ｂ
帅	刂巾Ｓ
帆	巾几丶
师	刂一巾
希	乂厂巾
帏	巾二卩
帐	巾长Ｚ
帑	女又巾
帔	巾皮Ｐ
帕	巾白Ｐ
帖	巾占占
帘	穴巾Ｌ
帙	巾失Ｚ
帚	彐冖巾
帛	白巾Ｂ
帜	巾口八
帝	旁巾Ｄ
带	卅冖巾
帧	巾卜贝
席	广廿巾
帮	丰阝巾
帱	巾丰寸
帷	巾隹Ｗ
常	尚巾Ｃ
帻	巾龶贝
帼	巾囗王
帽	巾日目
幂	冖日巾
幄	巾尸土
幅	巾畐Ｆ
幌	巾日儿
幔	巾日又
幕	莫巾Ｍ
幛	巾章Ｚ
幞	巾业丶
幡	巾丿田
幢	巾立里
干	干ＧＮ
平	干丷Ｐ
年	人井Ｎ
并	首廾Ｂ
幸	土首十
幺	幺ＹＯ
幻	幺亅Ｈ
幼	幺力Ｙ
幽	山幺幺
广	广ＧＧ
庄	广土Ｚ
庆	广大Ｑ
庇	广比Ｂ
床	广木Ｃ
庋	广十又
序	广龴丁
庐	广户Ｌ
庑	广干乚
库	广车Ｋ
应	广兴Ｙ
底	广Ｃ七
庖	广包Ｐ
店	广占占
庙	广由Ｍ
庚	广彐人
府	广亻寸
庞	广龙Ｐ
废	广发Ｆ
庠	广羊Ｘ
庥	广亻木
度	广廿又
座	广人土
庭	广壬廴
庳	广卑卑
庵	广大乚
庶	广廿灬
康	广彐水
庸	广彐冃
庹	广廿尺
庾	广臼人
廉	广首兼
廊	广丶阝
廑	广廿龶
廒	广敖Ａ
廓	广高阝
廖	广羽彡
廛	广里土
廨	广刀牛
廪	广亠示
延	丿止廴
廷	壬廴Ｔ
建	彐干廴
廿	廿ＮＮ
开	一廾Ｋ
弁	厶廾Ｂ
异	巳廾Ｙ
弃	充廾Ｑ
弄	王廾Ｎ
弄	王廾Ｌ
弈	亦廾Ｙ
弊	丷攵廾
弋	弋ＹＩ
式	弋工Ｓ
弑	乂朩弋
弓	弓ＧＧ
引	弓丨Ｙ
弗	弓刂Ｆ
弘	弓厶Ｈ
弛	弓也Ｃ
弟	丷弓丿
张	弓长Ｚ
弥	弓刀小
弦	弓玄Ｘ
弧	弓瓜Ｈ
弩	女又弓
弭	弓耳Ｍ
弯	亦弓Ｗ
弱	弓冫弓
弹	弓丷十
强	弓虽Ｑ
强	弓虽Ｊ
弼	弓丆弓
彀	士弓殳
归	刂彐Ｇ
当	Ｍ彐Ｄ
录	彐水Ｌ
彖	彑豕Ｔ
彗	丰丰彐
彘	彑矢比
彝	彑米廾
形	一廾彡
彤	冂亠彡
彦	立丿彡
彩	爫木彡
彪	虍几彡
彬	林彡Ｂ
彭	吉首彡
彰	章彡Ｚ
影	日小彡
彳	彳ＣＩ
彷	彳方Ｐ
役	彳殳Ｙ
彻	彳七刀
彼	彳皮Ｂ
往	彳主Ｗ
征	彳一止
徂	彳且Ｃ
径	彳又工
待	彳土寸
徇	彳勹日
很	彳艮Ｈ
徉	彳羊Ｙ
徊	彳囗口
律	彳彐干
徐	彳余Ｘ
徒	彳走Ｔ
徕	彳未丷
得	彳日寸
徘	彳非Ｐ
徙	彳止止
徜	彳尚Ｃ
御	彳人卩
徨	彳白王
循	彳厂目
徭	彳爫缶
微	微微几
徵	微微王
德	彳十心
徼	彳白攵
徽	微微幺
心	心ＸＮ
必	心丿Ｂ
忆	忄乙Ｙ
忉	忄刀Ｄ
忌	己心Ｊ
忍	刀丶心
忏	忄千Ｃ
忐	卜一心
忑	下心Ｔ
忒	弋心Ｔ
忖	忄寸Ｃ
志	士心Ｚ
忘	亡心Ｗ
忙	忄亡Ｍ
忝	一大小
忠	口丨心
忡	忄口丨
忤	忄午Ｗ
忧	忄尢丶
忪	忄八厶
快	忄夬Ｋ
忭	忄亠卜
忮	忄十又
忱	忄巾乚
念	亽乛心
忸	忄丑Ｎ
忻	忄斤Ｘ
忽	勹彳心
忾	忄气Ｋ
忿	分心Ｆ
怀	忄不Ｈ
态	大丶心
怂	人人心
怃	忄干乚
怄	忄匚乂
怅	忄长Ｃ
怆	忄仓Ｃ
怊	忄召Ｃ
怍	忄乍Ｚ
怎	乍心Ｚ
怏	忄央Ｙ
怒	女又心
怔	忄一止
怕	忄白Ｐ
怖	忄厂巾
怙	忄古Ｈ
怛	忄日一
怜	忄亽龴
思	田心Ｓ
怠	厶口心
怡	忄厶口
急	刀彐心
怦	忄干丷
性	忄丿龶
怨	夕㔾心
怩	忄尸匕
怪	忄又土
怫	忄弓刂
怯	忄土厶
怵	忄木丶
总	丷口心
怼	又寸心
怿	忄又干
恁	亻壬心
恂	忄勹日
恃	忄土寸
恋	亦心Ｌ
恍	忄Ｍ儿
恐	工几心
恒	忄一一
恕	女口心
恙	<美上>心Ｙ
恚	圭心Ｈ
恝	丰刀心
恢	忄厂火
恣	冫欠心
恤	忄丿皿
恧	丆皿心
恨	忄艮Ｈ
恩	囗大心
恪	忄各Ｋ
恫	忄冂一
恬	忄舌Ｔ
恭	龷八小
息	丿目心
恰	忄亼口
恳	艮心Ｋ
恶	亚心Ｅ
恶	亚心Ｗ
恸	忄云力
恹	忄厂大
恺	忄山己
恻	忄贝刂
恼	忄文凵
恽	忄冖车
恿	龴用心
悃	忄囗木
悄	忄Ｍ冃
悉	丿米心
悌	忄丷弓
悍	忄日干
悒	忄口巴
悔	忄人母
悖	忄十子
悚	忄木口
悛	忄厶夂
悝	忄里Ｋ
悟	忄五口
悠	亻攵心
患	口口心
悦	忄丷儿
您	亻刀心
悫	士冖心
悬	且厶心
悭	忄又土
悯	忄门文
悱	忄非Ｆ
悲	非心Ｂ
悴	忄亠十
悸	忄禾子
悻	忄土十
悼	忄卜十
情	忄青Ｑ
惆	忄冂土
惊	忄高小
惋	忄宀㔾
惑	戈口心
惕	忄日勹
惘	忄冂首
惚	忄勹心
惜	忄龷日
惝	忄尚Ｃ
惟	忄隹Ｗ
惠	士日心
惦	忄广占
惧	忄且八
惨	忄厶彡
惩	彳一心
惫	夂田心
惬	忄匚夫
惭	忄车斤
惮	忄丷十
惯	忄毌贝
惰	忄厂冃
想	木目心
惴	忄山皿
惶	忄白王
惹	艹厂心
惺	忄日龶
愀	忄禾火
愁	禾火心
愆	彳亍心
愈	亼前心
愉	忄亼前
愍	巳攵心
愎	忄人夂
意	立日心
愕	忄口Ｓ
愚	甲冂心
感	戊一心
愠	忄日皿
愣	忄罒方
愤	忄十贝
愦	忄贵Ｋ
愧	忄白儿
愫	忄龶小
愿	厂白心
慈	首幺心
慊	忄首兼
慌	忄艹川
慎	忄十八
慑	忄耳又
慕	莫小Ｍ
慝	匚艹心
慢	忄日又
慧	丰丰心
慨	忄艮旡
慰	尸寸心
慵	忄广冃
慷	忄广水
憋	丷攵心
憎	忄丷日
憔	忄焦Ｑ
憧	忄立里
憨	乛攵心
憩	舌丿心
憬	忄日小
憷	忄林止
憾	忄戊心
懂	忄艹里
懈	忄刀牛
懊	忄白大
懋	木木心
懑	氵艹心
懒	忄木负
懔	忄亠示
懦	忄雨皿
懵	忄艹目
懿	士首心
戆	章夂心
戈	戈ＧＥ
戊	戊ＷＵ
戋	一戈Ｊ
戌	戊一Ｘ
戌	戊一Ｑ
戍	戊丶Ｓ
戎	戈厂Ｒ
戏	又戈Ｘ
成	戊亅Ｃ
我	手戈Ｗ
戒	戈廾Ｊ
戕	爿戈Ｑ
或	戈口一
戗	仓戈Ｑ
战	占占戈
戚	戊卜一
戛	丆目戈
戟	十十戈
戡	其乚戈
戢	口耳戈
戤	乃皿戈
戥	日龶戈
截	十戈隹
戬	亚日戈
戮	羽彡戈
戳	羽隹戈
戴	十戈八
户	户ＨＵ
戽	户斗Ｈ
戾	户大丶
房	户方Ｆ
所	厂尸斤
扁	户冊Ｂ
扁	户冊Ｐ
扃	户冂口
扇	户羽Ｓ
扈	户口巴
扉	户非Ｆ
手	手ＳＵ
才	才ＣＩ
扎	扌乚Ｚ
扑	扌卜Ｐ
扒	扌八Ｂ
扒	扌八Ｐ
打	扌丁Ｄ
扔	扌乃Ｒ
托	扌丿七
扛	扌工Ｋ
扛	扌工Ｇ
扣	扌口Ｋ
扦	扌千Ｑ
执	执执Ｚ
扩	扌广Ｋ
扪	扌门Ｍ
扫	扌彐Ｓ
扬	扌Ｊ彳
扭	扌丑Ｎ
扮	扌分Ｂ
扯	扌止Ｃ
扰	扌尢丶
扳	扌反反
扶	扌夫Ｆ
批	扌比Ｐ
扼	扌厂㔾
找	扌戈Ｚ
承	乛水三
技	扌十又
抄	扌少Ｃ
抉	扌夬Ｊ
把	扌巴Ｂ
抑	扌Ｃ卩
抒	扌龴丁
抓	扌爪Ｚ
投	扌殳Ｔ
抖	扌斗Ｄ
抗	扌亠几
折	扌斤Ｚ
折	扌斤Ｓ
抚	扌干乚
抛	扌九力
抟	扌二龴
抠	扌匚乂
抡	扌人匕
抢	扌仓Ｑ
护	扌户Ｈ
报	扌卩又
抨	扌干丷
披	扌皮Ｐ
抬	扌厶口
抱	扌包Ｂ
抵	扌Ｃ七
抹	扌末Ｍ
抻	扌日丨
押	扌甲Ｙ
抽	扌由Ｃ
抿	扌巳七
拂	扌弓刂
拄	扌主Ｚ
担	扌日一
拆	扌斤丶
拇	扌母Ｍ
拈	扌占占
拉	扌立Ｌ
拊	扌亻寸
拌	扌半Ｂ
拍	扌白Ｐ
拎	扌亽龴
拐	扌另Ｇ
拒	扌匚尸
拓	扌石Ｔ
拔	扌犮Ｂ
拖	扌人也
拗	扌幺力
拘	扌勹口
拙	扌出Ｚ
招	扌召Ｚ
拜	龵一丰
拟	扌以Ｎ
拢	扌龙Ｌ
拣	扌七小
拥	扌用Ｙ
拦	扌首二
拧	扌宁Ｎ
拨	扌发Ｂ
择	扌又干
括	扌舌Ｋ
拭	扌弋工
拮	扌吉Ｊ
拯	扌乛一
拱	扌龷八
拳	龹手Ｑ
拴	扌全Ｓ
拶	扌巛夕
拷	扌耂丂
拼	扌首廾
拽	扌日乚
拾	扌亼口
拿	亼口手
持	扌土寸
挂	扌圭Ｇ
指	扌匕日
挈	丰刀手
按	扌安安
挎	扌大Ｓ
挑	扌ＫＫ
挖	扌穴乙
挚	执执手
挛	亦手Ｌ
挝	扌寸辶
挞	扌大辶
挟	扌夫丷
挠	扌戈儿
挡	扌Ｍ彐
挣	扌刀亅
挤	扌文刂
挥	扌冖车
挨	扌厶矢
挪	扌月阝
挫	扌人土
振	扌厂ｒ
挲	氵少手
挹	扌口巴
挺	扌壬廴
挽	扌刀儿
捂	扌五口
捃	扌彐口
捅	扌龴用
捆	扌囗木
捉	扌足Ｚ
捋	扌爫寸
捌	扌另刂
捍	扌日干
捎	扌Ｍ冃
捏	扌日土
捐	扌口冃
捕	扌甫Ｂ
捞	扌营力
损	扌口贝
捡	扌亼兴
换	扌刀大
捣	扌鸟山
捧	扌<春上>干
捩	扌户大
捭	扌卑卑
据	扌尸古
捶	扌千垂
捷	扌一止
捺	扌大示
捻	扌亽心
掀	扌斤欠
掂	扌广占
掇	扌又又
授	扌受Ｓ
掉	扌卜十
掊	扌立口
掌	尚手Ｚ
掎	扌大可
掏	扌勹缶
掐	扌刀臼
排	扌非Ｐ
掖	扌亠夂
掘	扌尸出
掠	扌高小
探	扌㓁木
掣	牛刂手
接	扌立女
控	扌穴工
推	扌隹Ｔ
掩	扌大乚
措	扌龷日
掬	扌勹米
掭	扌一小
掮	扌户冃
掰	龵分手
掳	扌虍力
掴	扌囗王
掷	扌丷阝
掸	扌丷十
掺	扌厶彡
掼	扌毌贝
掾	扌彑豕
揄	扌亼前
揆	扌癶大
揉	扌龴木
揍	扌<春上>大
描	扌艹田
提	扌日止
插	扌千臼
揖	扌口耳
揠	扌匚日
握	扌尸土
揣	扌山皿
揩	扌比白
揪	扌禾火
揭	扌日勹
援	扌爫又
揶	扌耳阝
揸	扌木一
揽	扌Ｋ见
揿	扌钅欠
搀	扌刀冫
搁	扌门各
搂	扌米女
搅	扌学见
搋	扌厂几
搌	扌尸ｒ
搏	扌甫寸
搐	扌玄田
搓	扌羊工
搔	扌又虫
搛	扌首兼
搜	扌叟Ｓ
搞	扌高Ｇ
搠	扌丷月
搡	扌又木
搦	扌弓弓
搪	扌广口
搬	扌舟殳
搭	扌艹口
搴	宀井手
携	扌隹乃
搽	扌艹朩
摁	扌囗心
摄	扌耳又
摅	扌虍心
摆	扌罒厶
摇	扌爫缶
摈	扌穴丘
摊	扌又隹
摒	扌尸廾
摔	扌亠十
摘	扌啇Ｚ
摞	扌田小
摧	扌山隹
摩	广林手
摭	扌广灬
摸	扌莫Ｍ
摹	莫手Ｍ
撂	扌田各
撄	扌贝女
撅	扌厂欠
撇	扌丷攵
撑	扌尚手
撒	扌龷攵
撕	扌其斤
撖	扌乛攵
撙	扌酋寸
撞	扌立里
撤	扌充攵
撩	扌大小
撬	扌毛毛
播	扌丿田
撮	扌日又
撰	扌巳八
撵	扌夫车
撷	扌吉页
撸	扌鱼日
撺	扌穴丨
撼	扌戊心
擀	扌人干
擂	扌雨田
擅	扌亠一
操	扌口木
擎	艹攵手
擐	扌罒ｒ
擒	扌人冂
擘	尸辛手
擞	扌米攵
擢	扌羽隹
擤	扌丿丌
擦	扌宀示
攀	木木手
攉	扌雨隹
攒	扌牛贝
攘	扌衣口
攥	扌竹小
攫	扌目又
攮	扌十ｒ
支	十又Ｚ
收	丩攵Ｓ
攸	亻丨攵
改	己攵Ｇ
攻	工攵Ｇ
放	方攵Ｆ
政	一止攵
故	古攵Ｇ
效	亠父攵
敉	米攵Ｍ
敌	舌攵Ｄ
敏	人母攵
救	氺丶攵
敕	木口攵
敖	敖ＡＯ
教	耂子攵
敛	亼兴攵
敝	丷巾攵
敞	尚攵Ｃ
敢	乛耳攵
散	龷冃攵
敦	高子攵
敫	白方攵
敬	艹口攵
数	米女攵
敲	高卜又
整	木攵止
敷	甫方攵
文	文ＷＮ
斋	文丆皿
斌	文一弋
斐	非文Ｆ
斑	王文王
斓	文门木
斗	斗ＤＵ
料	米斗Ｌ
斛	刀用斗
斜	余斗Ｘ
斟	其乚斗
斡	十十斗
斤	斤ＪＮ
斥	斤丶Ｃ
斧	父斤Ｆ
斩	车斤Ｚ
斫	石斤Ｚ
断	米乚斤
斯	其斤Ｓ
新	亲斤Ｘ
方	方ＦＧ
於	方人冫
施	族也Ｓ
旁	旁方Ｐ
旃	族冂亠
旄	族毛Ｍ
旅	族丿ｒ
旆	族一巾
旋	族乛止
旌	族丿龶
旎	族尸匕
族	族矢Ｚ
旒	族充川
旖	族大可
旗	族其Ｑ
无	干乚Ｗ
无	干乚Ｍ
既	艮旡Ｊ
日	日ＲＩ
旦	日一Ｄ
旧	丨日Ｊ
旨	匕日Ｚ
早	日十Ｚ
旬	勹日Ｘ
旭	九日Ｘ
旮	九日Ｇ
旯	日九Ｌ
旰	日干Ｇ
旱	日干Ｈ
时	日寸Ｓ
旷	日广Ｋ
旺	日王Ｗ
昀	日勹冫
昂	日Ｃ卩
昃	日厂人
昆	日比Ｋ
昊	日一大
昌	日日Ｃ
明	日月Ｍ
昏	Ｃ七日
易	日勹彳
昔	龷日Ｘ
昕	日斤Ｘ
昙	日云Ｔ
昝	夂卜日
星	日丿龶
映	日央Ｙ
春	<春上>日Ｃ
昧	日未Ｍ
昨	日乍Ｚ
昭	日召Ｚ
是	日一止
昱	日立Ｙ
昴	日Ｇ卩
昵	日尸匕
昶	丶水日
昼	尺日一
显	日业Ｘ
晁	日ＫＫ
晃	日Ｍ儿
晋	亚日Ｊ
晌	日白口
晏	日安安
晒	日西Ｓ
晓	日戈儿
晔	日匕十
晕	日冖车
晖	日冖车
晗	日亽口
晚	日刀儿
晟	日戊亅
晡	日甫Ｂ
晤	日五口
晦	日人母
晨	日厂ｒ
普	首业日
景	日高小
晰	日木斤
晴	日青Ｑ
晶	日日日
晷	日夂口
智	矢口日
晾	日高小
暂	车斤日
暄	日宀一
暇	日尸又
暌	日癶大
暑	日者Ｓ
暖	日爫又
暗	日立日
暝	日冖八
暧	日爱爱
暨	艮旡一
暮	莫日Ｍ
暴	日龷氺
暹	日隹辶
暾	日高攵
曙	日罒者
曛	日千黑
曜	日羽隹
曝	日日氺
曦	日<美上>戈
曩	日衣口
曰	曰ＹＥ
曲	日刂Ｑ
曳	日乚丿
更	丈日Ｇ
曷	日勹乚
曹	西日Ｃ
曼	日罒又
曾	丷日日
替	夫夫日
最	日耳又
月	月ＹＥ
有	厂冃Ｙ
朋	月月Ｐ
服	月卩又
朐	月勹口
朔	丷屮月
朕	月丷大
朗	丶艮月
望	亡月王
朝	十十月
期	其月Ｑ
期	其月Ｊ
朦	月营豕
木	木ＭＵ
未	未ＷＩ
末	末ＭＯ
本	木一Ｂ
札	木乚Ｚ
术	木丶Ｓ
术	木丶Ｚ
朱	朱ＺＵ
朴	木卜Ｐ
朵	几木Ｄ
机	木几Ｊ
朽	木丂Ｘ
杀	乂朩Ｓ
杂	九朩Ｚ
权	木又Ｑ
杆	木干Ｇ
杈	木又丶
杉	木彡Ｓ
杌	木一儿
李	木子Ｌ
杏	木口Ｘ
材	木才Ｃ
村	木寸Ｃ
杓	木勹丶
杖	木丈Ｚ
杜	木土Ｄ
杞	木己Ｑ
束	木口Ｓ
杠	木工Ｇ
条	夂朩Ｔ
来	未丷Ｌ
杨	木Ｊ彳
杩	木马Ｍ
杪	木少Ｍ
杭	木亠几
杯	木不Ｂ
杰	木灬Ｊ
杲	日木Ｇ
杳	木日Ｙ
杵	木午Ｃ
杷	木巴Ｐ
杼	木龴丁
松	木八厶
板	木反反
极	木及Ｊ
构	木勹厶
枇	木比Ｐ
枉	木王Ｗ
枋	木方Ｆ
析	木斤Ｘ
枕	木巾乚
林	林ＬＮ
枘	木内Ｒ
枚	木攵Ｍ
果	日木Ｇ
枝	木十又
枞	木人人
枢	木匚乂
枣	木冂冫
枥	木厂力
枧	木见Ｊ
枨	木长Ｃ
枪	木仓Ｑ
枫	木风Ｆ
枭	鸟木Ｘ
枯	木古Ｋ
枰	木干丷
枳	木口八
枵	木口丂
架	加木Ｊ
枷	木加Ｊ
枸	木勹口
柁	木宀匕
柃	木亽龴
柄	木一内
柏	木白Ｂ
某	廿一木
柑	木廿一
柒	氵七木
染	氵九木
柔	龴才木
柘	木石Ｚ
柙	木甲Ｘ
柚	木由Ｙ
柜	木匚尸
柝	木斤丶
柞	木乍Ｚ
柠	木宁Ｎ
柢	木Ｃ七
查	木日一
柩	木匚刀
柬	木柬Ｊ
柯	木可Ｋ
柰	木示Ｎ
柱	木主Ｚ
柳	木Ｇ卩
柴	止匕木
柽	木又土
柿	木亠巾
栀	木Ｆ㔾
栅	木册Ｓ
栅	木册Ｚ
标	木示Ｂ
栈	木一戈
栉	木艹卩
栊	木龙Ｌ
栋	木七小
栌	木卜尸
栎	木Ｃ小
栏	木首二
树	木又寸
栓	木全Ｓ
栖	木西Ｑ
栗	覀木Ｌ
栝	木舌Ｇ
校	木亠父
栩	木羽Ｘ
株	木朱Ｚ
栲	木耂丂
栳	木耂匕
样	木羊Ｙ
核	木亥Ｈ
根	木艮Ｇ
格	木各Ｇ
栽	十戈木
栾	亦木Ｌ
桀	夕舛木
桁	木彳亍
桂	木圭Ｇ
桃	木ＫＫ
桄	木Ｍ儿
桅	木刀㔾
框	木匚王
案	安安木
桉	木安安
桊	龹木Ｊ
桌	卜日木
桎	木一土
桐	木冂一
桑	又又木
桓	木一一
桔	木吉Ｊ
桕	木臼Ｊ
桠	木亚Ｙ
桡	木戈儿
桢	木卜贝
档	木Ｍ彐
桤	木山己
桥	木丿刂
桦	木匕十
桧	木人云
桨	丬夕木
桩	木广土
桫	木氵少
桴	木爫子
桶	木龴用
桷	木刀用
梁	氵刀木
梃	木壬廴
梅	木人母
梆	木丰阝
梏	木告Ｇ
梓	木辛Ｚ
梗	木丈日
梢	木Ｍ冃
梦	林夕Ｍ
梧	木五口
梨	禾刂木
梭	木厶夂
梯	木丷弓
械	木戈廾
梳	木充川
梵	林几丶
检	木亼兴
棂	木彐火
棉	木白巾
棋	木其Ｑ
棍	木日比
棒	木<春上>干
棕	木宀示
棘	木冂木
棚	木月月
棠	尚木Ｔ
棣	木彐水
森	木林Ｓ
棰	木千垂
棱	木土夂
棵	木日木
棹	木卜十
棺	木宀官
棼	林分Ｆ
椁	木高子
椅	木大可
椋	木高小
植	木十且
椎	木隹Ｚ
椐	木尸古
椒	木卜又
椟	木十头
椠	车斤木
椤	木罒夕
椭	木厂冃
椰	木耳阝
椴	木Ｅ殳
椹	木其乚
椽	木彑豕
椿	木<春上>日
楂	木木一
楔	木刀大
楗	木彐廴
楚	林乛止
楝	木木柬
楞	木罒方
楠	木Ｍ首
楣	木尸目
楦	木宀一
楫	木口耳
楮	木者Ｃ
楷	木比白
楸	木禾火
楹	木乃皿
楼	木米女
概	木艮旡
榄	木Ｋ见
榆	木亼前
榇	木亲Ｃ
榈	木门口
榉	木兴干
榍	木尸冃
榔	木丶阝
榕	木宀谷
榛	木<春上>禾
榜	木旁方
榧	木匚非
榨	木穴乍
榫	木隹十
榭	木身寸
榱	木衣口
榴	木刀田
榷	木冖隹
榻	木日羽
槁	木高Ｇ
槊	丷月木
槌	木追辶
槎	木羊工
槐	木白儿
槔	木白十
槛	木Ｋ皿
槟	木穴丘
槠	木讠者
槭	木戊卜
槲	木刀斗
槽	木西日
槿	木廿龶
樊	木木大
樗	木雨Ｓ
樘	木尚土
樟	木章Ｚ
模	木莫Ｍ
樨	木尸牛
横	木龷八
樯	木十囗
樱	木贝女
樵	木焦Ｑ
樽	木酋寸
樾	木走戈
橄	木乛攵
橇	木毛毛
橐	十口木
橘	木龴冂
橙	木癶首
橛	木厂欠
橡	木象Ｘ
橥	犭者木
橱	木厂寸
橹	木鱼日
橼	木彑豕
檀	木亠一
檄	木白攵
檎	木人冂
檐	木刀言
檑	木雨田
檗	尸辛木
檠	艹攵木
檩	木亠示
檫	木宀示
檬	木营豕
欠	欠ＱＮ
次	冫欠Ｃ
欢	又欠Ｈ
欣	斤欠Ｘ
欤	与欠Ｙ
欧	匚乂欠
欲	谷欠Ｙ
欹	大可欠
欺	其欠Ｑ
款	士示欠
歃	千臼欠
歆	立日欠
歇	日乚欠
歉	首兼欠
歌	可可欠
歙	亼羽欠
止	止ＺＩ
正	一止Ｚ
此	止匕Ｃ
步	止少Ｂ
武	一弋止
歧	止十又
歪	不一止
歹	歹ＤＩ
死	歹匕Ｓ
歼	歹千Ｊ
殁	歹殳Ｍ
殂	歹且Ｃ
殃	歹央Ｙ
殄	歹人彡
殆	歹厶口
殇	歹人Ｊ
殉	歹勹日
殊	歹朱Ｓ
残	歹一戈
殍	歹爫子
殒	歹口贝
殓	歹亼兴
殖	歹十且
殚	歹丷十
殛	歹乛一
殡	歹穴丘
殪	歹士首
殳	殳ＳＵ
殴	匚乂殳
段	Ｅ殳Ｄ
殷	厂彐殳
殿	尸龷殳
毁	臼工殳
毂	士车殳
毅	立豕殳
毋	毋ＷＵ
母	母ＭＵ
每	人母Ｍ
毒	龶母Ｄ
毓	人母川
比	比ＢＩ
毕	比十Ｂ
毖	比心丿
毗	田比Ｐ
毙	比歹匕
毛	毛ＭＯ
毡	毛占占
毪	毛厶牛
毫	亮毛Ｈ
毯	毛火火
毳	毛毛毛
毵	厶彡毛
毹	亼前毛
毽	毛彐干
氅	尚攵毛
氆	毛首业
氇	毛鱼日
氍	目隹毛
氏	Ｃ七Ｓ
氏	Ｃ七Ｚ
氐	Ｃ七丶
民	巳七Ｍ
氓	亡巳七
气	气ＱＩ
氕	气丿Ｐ
氖	气乃Ｎ
氘	气刂Ｄ
氙	气山Ｘ
氚	气川Ｃ
氛	气分Ｆ
氟	气弓刂
氡	气夂冫
氢	气又工
氤	气囗大
氦	气亥Ｈ
氧	气羊Ｙ
氨	气安安
氩	气亚Ｙ
氪	气古儿
氮	气火火
氯	气彐水
氰	气青Ｑ
氲	气日皿
水	水ＳＩ
永	丶水Ｙ
汀	氵丁Ｔ
汁	氵十Ｚ
求	氺丶Ｑ
汆	丿丶水
汇	氵匚Ｈ
汉	氵又Ｈ
汊	氵又丶
汐	氵夕Ｘ
汔	氵人乙
汕	氵山Ｓ
汗	氵干Ｈ
汛	氵乙十
汜	氵巳Ｓ
汝	氵女Ｒ
汞	工水Ｇ
江	氵工Ｊ
池	氵也Ｃ
污	氵二Ｓ
汤	氵Ｊ彳
汨	氵日Ｍ
汩	氵曰Ｇ
汪	氵王Ｗ
汰	氵大丶
汲	氵及Ｊ
汴	氵亠卜
汶	氵文Ｗ
汹	氵乂凵
汽	氵气Ｑ
汾	氵分Ｆ
沁	氵心Ｑ
沂	氵斤Ｙ
沃	氵丿大
沅	氵元Ｙ
沆	氵亠几
沈	氵巾乚
沉	氵冖几
沌	氵七凵
